player_name,club_name,position_name,now_cost,total_points,event_points,points_per_game,selected_by_percent,goals_scored,assists,minutes,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,saves,yellow_cards,red_cards,bonus,influence,creativity,threat,ict_index,form,dreamteam_count,value_form,value_season,transfers_in,transfers_out,transfers_in_event,transfers_out_event,cost_change_start,cost_change_start_fall,cost_change_event,cost_change_event_fall,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution,defensive_contribution_per_90,news,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
Viktor Gyökeres,Arsenal,FWD,7.5,128,0,3.6,10.9,14,1,2217,12,14,0,0,0,0,5,0,16,539.6,271.7,772.0,157.5,0.0,0,0.0,17.1,0,0,0,0,0.0,0.0,0.0,0.0,12.26,1.94,14.19,17.81,26,7,23,55,85,3.45,,99,9,133,11,19,11,46,8,,,,,2.0,,0.5,0.0,0.08,0.58,0.72,0.57,15,6,573,64,97,10,42,8,1.06,0.49
Neco N.Williams,Nott'm Forest,DEF,5.0,128,0,3.5,11.2,2,3,3203,9,48,0,0,0,0,6,1,15,804.0,572.3,380.0,175.6,0.0,0,0.0,25.6,0,0,0,0,0.0,0.0,0.0,0.0,2.01,3.97,5.98,51.36,36,96,151,164,247,6.94,,30,11,38,3,70,7,32,3,1.0,,2.0,,,,0.06,0.0,0.11,0.17,1.44,1.35,269,45,246,128,101,40,39,14,1.01,0.25
Iliman Ndiaye,Everton,MID,6.0,128,0,4.0,15.7,6,3,2781,8,44,0,0,0,0,2,0,7,605.8,479.2,578.0,166.5,0.0,0,0.0,21.3,0,0,0,0,0.0,0.0,0.0,0.0,6.68,4.41,11.09,42.68,32,67,38,178,283,9.16,,72,22,54,47,35,21,36,26,,,,,1.0,,0.22,0.0,0.14,0.36,1.38,1.42,81,52,508,202,58,25,24,7,1.04,0.26
Brenden Aaronson,Leeds,MID,5.5,126,0,3.4,0.9,4,8,2449,9,32,0,0,0,0,3,0,5,482.8,486.7,498.0,146.7,0.0,0,0.0,22.9,0,0,0,0,0.0,0.0,0.0,0.0,4.53,3.6,8.13,37.07,30,50,36,130,216,7.94,,119,42,51,45,43,26,54,34,,,3.0,,,,0.17,0.0,0.13,0.3,1.36,1.18,154,96,413,147,115,45,196,66,1.1,0.33
Danny Welbeck,Chelsea,FWD,6.0,126,0,3.4,2.2,13,1,2249,10,28,0,0,2,0,5,0,18,578.8,309.7,803.0,168.2,0.0,0,0.0,21.0,0,0,0,0,0.0,0.0,0.0,0.0,12.36,1.4,13.76,31.68,26,24,39,49,112,4.48,,84,7,119,9,15,8,35,6,,,,,,,0.49,0.0,0.06,0.55,1.27,1.12,57,13,484,44,119,11,120,15,1.04,0.4
Malick Thiaw,Newcastle,DEF,5.0,126,0,3.6,1.9,4,0,2963,5,52,0,0,0,0,4,0,12,868.0,114.3,409.0,138.9,0.0,0,0.0,25.2,0,0,0,0,0.0,0.0,0.0,0.0,4.8,0.96,5.76,49.21,33,44,248,118,292,8.87,,17,6,228,67,61,4,64,11,,,,,,,0.15,0.0,0.03,0.18,1.49,1.58,315,60,292,143,88,35,134,55,1.0,0.15
Pedro Neto,Chelsea,MID,6.5,125,0,3.7,1.3,5,7,2629,11,33,0,0,0,0,2,1,9,523.0,836.2,505.0,186.7,0.0,0,0.0,19.2,0,0,0,0,0.0,0.0,0.0,0.0,4.59,6.84,11.43,37.54,30,19,19,84,122,4.18,,110,36,14,13,41,25,29,23,2.0,,4.0,,,,0.16,0.0,0.23,0.39,1.29,1.13,42,29,549,232,83,37,171,56,1.03,0.38
Hugo Ekitiké,Liverpool,FWD,7.5,125,0,4.5,0.2,11,4,1797,7,25,0,0,0,0,0,0,22,525.8,307.2,739.0,156.2,0.0,0,0.0,16.7,0,0,0,0,0.0,0.0,0.0,0.0,10.1,2.45,12.55,26.11,21,11,32,42,85,4.26,Achilles injury - Unknown return date,109,10,121,10,21,12,47,9,,,,,,,0.51,0.0,0.12,0.63,1.31,1.25,21,8,579,66,28,4,353,59,1.05,0.35
Omar Alderete,Sunderland,DEF,5.0,125,0,3.8,0.4,1,1,2797,10,40,0,0,0,0,6,0,5,749.0,138.1,279.0,117.0,0.0,0,0.0,25.0,0,0,0,0,0.0,0.0,0.0,0.0,1.62,0.91,2.52,44.52,32,32,280,103,312,10.04,Knock - 75% chance of playing,36,14,208,55,108,18,94,26,,,,,,,0.05,0.0,0.03,0.08,1.43,1.29,257,42,234,125,70,26,281,105,1.03,0.32
Florian Wirtz,Liverpool,MID,7.5,125,0,3.8,14.7,5,4,2374,10,32,0,0,0,0,1,0,17,526.4,908.2,665.0,210.0,0.0,0,0.0,16.7,0,0,0,0,0.0,0.0,0.0,0.0,6.83,5.14,11.96,33.99,27,34,26,116,176,6.67,,107,35,10,10,25,12,16,12,3.0,,2.0,,4.0,,0.26,0.0,0.19,0.45,1.29,1.21,20,12,578,253,75,34,29,9,1.02,0.38
Kevin Schade,Brentford,MID,6.0,125,0,3.6,3.2,8,5,2744,11,34,0,0,1,0,6,1,5,536.8,380.1,821.0,172.8,0.0,0,0.0,20.8,0,0,0,0,0.0,0.0,0.0,0.0,12.08,2.05,14.13,40.05,32,42,54,94,190,6.23,,100,31,89,66,12,7,33,25,,,,,2.0,,0.4,0.0,0.07,0.47,1.31,1.12,100,65,527,215,94,40,95,33,1.05,0.36
Đorđe Petrović,Bournemouth,GKP,4.5,124,0,3.3,3.6,0,0,3420,11,54,1,0,0,109,3,0,5,822.6,0.0,0.0,82.4,0.0,0,0.0,27.6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.72,38,0,62,285,0,0.0,,26,7,462,48,448,41,167,8,,,,,,,0.0,2.87,0.0,0.0,1.49,1.42,460,37,138,37,126,16,88,14,1.0,0.29
Granit Xhaka,Sunderland,MID,5.5,124,0,3.6,4.7,1,6,2901,9,39,0,0,0,0,8,0,8,685.0,595.3,101.0,138.1,0.0,0,0.0,22.5,0,0,0,0,0.0,0.0,0.0,0.0,1.01,3.73,4.74,45.68,32,50,134,178,362,11.23,,51,14,36,35,232,125,65,42,2.0,,1.0,,,,0.03,0.0,0.12,0.15,1.42,1.21,113,74,372,125,91,38,76,27,0.99,0.28
Joachim Andersen,Fulham,DEF,5.0,123,0,3.7,0.0,0,1,2882,8,45,0,0,0,0,7,1,8,790.6,131.0,148.0,107.0,0.0,0,0.0,24.6,0,0,0,0,0.0,0.0,0.0,0.0,1.43,1.83,3.26,44.88,33,45,284,114,329,10.27,Suspended until 30 Aug,31,12,215,59,195,53,112,33,,,,,,,0.04,0.0,0.06,0.1,1.4,1.41,250,41,227,124,78,31,495,168,1.03,0.25
Bernd Leno,Fulham,GKP,4.5,122,0,3.2,3.3,0,0,3420,9,51,1,0,0,98,3,0,8,816.2,0.0,0.0,81.5,0.0,0,0.0,27.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,52.73,38,4,46,318,0,0.0,,29,9,440,36,423,27,170,9,,,,,,,0.0,2.58,0.0,0.0,1.39,1.34,396,23,74,23,138,18,91,15,1.0,0.24
Jérémy Doku,Man City,MID,7.5,120,0,4.0,6.4,5,8,1773,8,18,0,0,0,0,0,0,15,540.2,841.6,645.0,202.5,0.0,0,0.0,16.0,0,0,0,0,0.0,0.0,0.0,0.0,2.87,5.86,8.73,23.2,19,23,15,88,126,6.4,,98,30,13,12,27,13,21,17,,,,,4.0,,0.15,0.0,0.3,0.45,1.18,0.91,17,10,575,251,62,29,61,21,0.96,0.41
Emiliano Martinez,Aston Villa,GKP,5.0,120,0,3.8,4.8,0,1,2835,7,39,0,1,0,95,2,0,11,769.8,23.2,0.0,79.2,0.0,0,0.0,24.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,42.92,32,0,27,272,0,0.0,,34,10,319,4,489,52,175,10,,,,,,,0.0,3.02,0.0,0.0,1.36,1.24,231,7,208,49,69,7,75,11,1.02,0.22
Nikola Milenković,Nott'm Forest,DEF,5.5,119,0,3.1,2.2,0,1,3375,9,51,1,0,0,0,6,0,2,680.4,66.9,120.0,86.9,0.0,0,0.0,21.6,0,0,0,0,0.0,0.0,0.0,0.0,0.83,0.68,1.51,54.98,37,30,281,107,311,8.29,,53,23,266,88,217,62,154,51,,,,,,,0.02,0.0,0.02,0.04,1.47,1.36,146,17,405,168,160,66,121,50,0.99,0.24
Richarlison Richarlison,Spurs,FWD,6.0,119,0,3.7,2.6,11,4,1954,7,27,0,0,0,0,5,0,17,602.6,239.6,815.0,165.2,0.0,0,0.0,19.8,0,0,0,0,0.0,0.0,0.0,0.0,8.64,1.46,10.1,25.64,20,27,60,60,147,6.77,,75,6,144,13,13,6,39,7,,,,,4.0,,0.4,0.0,0.07,0.47,1.18,1.24,71,18,498,49,80,7,114,14,0.92,0.32
Ferdi F.Kadıoğlu,Brighton,DEF,4.5,118,0,3.2,3.1,1,2,3130,10,41,0,0,0,0,6,0,7,505.0,444.8,284.0,123.7,0.0,0,0.0,26.2,0,0,0,0,0.0,0.0,0.0,0.0,2.06,3.31,5.37,44.61,34,57,113,130,170,4.89,,113,48,62,13,104,17,83,20,3.0,,,,,,0.06,0.0,0.1,0.16,1.28,1.18,440,108,118,80,141,55,98,36,0.98,0.29
Yankuba Minteh,Brighton,MID,6.0,117,0,3.4,0.3,3,8,2389,11,33,0,0,0,0,3,0,9,491.8,691.4,617.0,180.3,0.0,0,0.0,19.5,0,0,0,0,0.0,0.0,0.0,0.0,3.81,5.06,8.87,34.09,26,56,33,96,185,6.97,Leg injury - Expected back 28 Nov,116,40,25,24,28,14,30,24,5.0,,,,,,0.14,0.0,0.19,0.33,1.28,1.24,106,68,533,218,121,49,304,99,0.98,0.41
Ismaïla Sarr,Crystal Palace,MID,6.5,117,0,4.2,6.4,9,2,2173,9,29,0,0,0,0,2,0,9,479.8,269.4,601.0,135.1,0.0,0,0.0,18.0,0,0,0,0,0.0,0.0,0.0,0.0,10.93,1.17,12.09,31.25,24,18,40,79,137,5.67,,121,43,134,91,32,18,71,44,,,,,2.0,,0.45,0.0,0.05,0.5,1.29,1.2,40,27,547,230,43,19,62,22,0.99,0.37
Pedro Pedro Porro,Spurs,DEF,5.5,117,0,3.4,23.0,1,3,2793,9,40,0,0,0,0,10,0,8,690.2,881.7,202.0,177.5,0.0,0,0.0,21.3,0,0,0,0,0.0,0.0,0.0,0.0,1.05,4.37,5.42,37.75,32,76,142,132,218,7.02,,49,21,11,1,154,39,31,2,1.0,,1.0,,,,0.03,0.0,0.14,0.17,1.22,1.29,162,20,421,171,117,46,12,3,1.03,0.29
Matty Cash,Aston Villa,DEF,4.5,117,0,3.3,8.6,3,3,3016,8,38,0,0,0,0,9,0,7,643.0,510.7,221.0,137.5,0.0,0,0.0,26.0,0,0,0,0,0.0,0.0,0.0,0.0,1.14,2.94,4.08,45.45,34,66,120,88,186,5.55,,65,29,49,6,136,28,67,13,1.0,,,,,,0.03,0.0,0.09,0.12,1.36,1.13,424,95,102,67,125,48,53,21,1.01,0.24
Micky Van de Ven,Spurs,DEF,5.0,116,0,3.3,7.3,4,1,3041,9,50,0,0,0,0,9,1,10,683.4,95.2,218.0,99.6,0.0,0,0.0,23.2,0,0,0,0,0.0,0.0,0.0,0.0,2.82,0.38,3.2,42.99,35,38,174,121,212,6.27,,52,22,240,77,142,31,130,39,,,,,,,0.08,0.0,0.01,0.09,1.27,1.48,334,67,311,150,129,51,57,23,1.04,0.27
Daniel Ballard,Sunderland,DEF,5.0,116,0,4.0,4.7,2,2,2144,6,35,0,0,0,0,4,1,9,662.8,181.2,370.0,121.5,0.0,0,0.0,23.2,0,0,0,0,0.0,0.0,0.0,0.0,2.46,0.63,3.09,33.2,24,33,231,69,264,11.08,,57,24,183,47,72,8,86,22,,,,,,,0.1,0.0,0.03,0.13,1.39,1.47,279,51,256,134,52,20,77,28,1.01,0.25
Jake O'Brien,Everton,DEF,5.0,116,0,3.1,0.5,1,3,3118,10,46,0,0,0,0,6,1,2,582.8,282.9,206.0,107.5,0.0,0,0.0,23.2,0,0,0,0,0.0,0.0,0.0,0.0,1.67,1.0,2.67,53.49,35,57,174,114,231,6.67,,82,34,130,32,148,36,111,32,,,,,,,0.05,0.0,0.03,0.08,1.54,1.33,349,71,326,154,159,65,252,94,1.01,0.29
Francisco Evanilson Evanilson,Bournemouth,FWD,6.0,115,0,3.2,2.2,6,7,2741,11,40,0,0,0,0,2,0,6,350.6,397.9,809.0,155.5,0.0,0,0.0,19.2,0,0,0,0,0.0,0.0,0.0,0.0,10.64,1.48,12.12,39.02,32,13,42,80,135,4.43,,171,15,78,2,14,7,48,10,,,,,,,0.35,0.0,0.05,0.4,1.28,1.31,84,22,511,53,152,13,124,16,1.05,0.36
Reece James,Chelsea,DEF,5.5,115,0,4.0,8.9,2,6,1957,8,20,0,0,0,0,4,0,11,459.0,483.7,116.0,106.1,0.0,0,0.0,20.9,0,0,0,0,0.0,0.0,0.0,0.0,1.04,3.2,4.24,28.75,20,48,80,101,128,5.89,,128,53,52,7,221,64,116,35,1.0,,1.0,,,,0.05,0.0,0.15,0.2,1.32,0.92,144,16,403,167,56,23,52,20,0.92,0.37
Keane Lewis-Potter,Brentford,MID,5.5,115,0,3.2,0.5,3,4,1960,9,32,0,0,0,0,1,0,5,378.2,332.2,353.0,106.4,0.0,0,0.0,20.9,0,0,0,0,0.0,0.0,0.0,0.0,3.01,2.51,5.52,33.74,22,23,51,96,74,3.4,,159,63,106,76,75,46,114,64,,,1.0,,,,0.14,0.0,0.12,0.26,1.55,1.47,153,95,412,146,148,58,264,84,1.01,0.41
Jean-Philippe Mateta,Crystal Palace,FWD,6.5,114,0,3.6,6.1,12,0,2210,8,29,0,0,0,0,2,0,13,567.2,160.6,786.0,150.8,0.0,0,0.0,17.5,0,0,0,0,0.0,0.0,0.0,0.0,14.42,1.32,15.74,31.77,25,10,58,57,125,5.09,,87,8,191,18,18,10,51,11,,,,,1.0,,0.59,0.0,0.05,0.64,1.29,1.18,39,11,546,59,95,9,63,10,1.02,0.33
Cole Palmer,Chelsea,MID,9.5,114,0,4.4,10.6,10,2,1954,3,33,0,0,1,0,5,0,11,536.6,393.6,547.0,147.7,0.0,0,0.0,12.0,0,0,0,0,0.0,0.0,0.0,0.0,10.55,2.49,13.04,31.13,24,25,27,83,135,6.22,,101,32,83,61,39,23,52,32,,,3.0,,1.0,,0.49,0.0,0.11,0.6,1.43,1.52,4,3,590,260,37,16,43,15,1.11,0.14
Igor Jesus Igor Jesus,Nott'm Forest,FWD,6.0,114,0,3.1,5.2,6,6,2293,9,37,0,0,0,0,2,0,13,420.6,240.7,726.0,136.4,0.0,0,0.0,19.0,0,0,0,0,0.0,0.0,0.0,0.0,6.48,1.26,7.74,38.77,28,24,38,61,123,4.83,,145,14,142,12,22,13,69,13,,,,,3.0,,0.25,0.0,0.05,0.3,1.52,1.45,93,24,520,55,162,15,71,11,1.1,0.35
Eberechi Eze,Arsenal,MID,6.5,113,0,3.4,2.5,7,3,1885,11,14,0,0,0,0,1,0,8,393.4,305.7,455.0,115.1,0.0,0,0.0,17.4,0,0,0,0,0.0,0.0,0.0,0.0,5.18,2.66,7.84,14.21,22,19,22,79,120,5.73,,156,61,123,85,47,28,95,54,,,3.0,,,,0.25,0.0,0.13,0.38,0.68,0.67,41,28,548,231,122,50,117,36,1.05,0.53
Michael Kayode,Brentford,DEF,4.5,113,0,3.1,3.5,1,2,3258,10,49,1,0,0,0,8,0,9,613.8,470.2,130.0,121.7,0.0,0,0.0,25.1,0,0,0,0,0.0,0.0,0.0,0.0,1.28,2.89,4.17,52.65,37,68,151,163,219,6.05,,71,30,55,8,207,57,84,21,,,,,,,0.04,0.0,0.08,0.12,1.45,1.35,515,143,193,115,157,64,90,33,1.02,0.28
Robert Sánchez,Chelsea,GKP,5.0,113,0,3.2,2.2,0,1,3040,9,49,0,0,0,98,3,1,7,822.2,50.0,0.0,86.7,0.0,0,0.0,22.6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,48.64,35,2,27,302,0,0.0,,27,8,282,1,503,57,156,6,,,,,,,0.0,2.9,0.0,0.0,1.44,1.45,268,12,245,54,145,19,123,19,1.04,0.27
Sepp Van den Berg,Brentford,DEF,5.0,113,0,3.5,0.4,0,3,2761,8,41,0,0,0,0,2,0,3,659.0,98.0,305.0,106.3,0.0,0,0.0,22.6,0,0,0,0,0.0,0.0,0.0,0.0,3.36,1.45,4.81,41.59,30,23,249,109,272,8.87,Unspecified injury - Unknown return date,58,25,239,76,97,13,115,34,,,,,,,0.11,0.0,0.05,0.16,1.36,1.34,303,57,280,140,103,42,278,103,0.98,0.26
Mikkel Damsgaard,Brentford,MID,5.5,113,0,3.4,0.6,4,4,2046,5,32,0,0,0,0,0,0,9,530.6,691.3,326.0,155.0,0.0,0,0.0,20.5,0,0,0,0,0.0,0.0,0.0,0.0,2.61,5.43,8.04,31.55,24,57,45,139,241,10.6,,106,34,26,25,85,53,49,31,3.0,,3.0,,,,0.11,0.0,0.24,0.35,1.39,1.41,161,101,420,152,116,46,242,79,1.06,0.22
Luke Shaw,Man Utd,DEF,4.5,113,0,3.0,22.4,1,1,3220,10,45,0,0,0,0,9,0,3,560.2,314.8,97.0,97.4,0.0,0,0.0,25.1,0,0,0,0,0.0,0.0,0.0,0.0,0.72,1.98,2.69,44.9,38,75,149,105,224,6.26,,90,39,115,28,233,70,137,45,3.0,,,,,,0.02,0.0,0.06,0.08,1.25,1.26,403,83,81,55,165,68,13,4,1.06,0.28
Junior Kroupi.Jr,Bournemouth,MID,7.5,113,0,3.4,1.5,13,0,1663,10,21,0,0,0,0,5,0,13,532.2,306.9,563.0,139.9,0.0,0,0.0,15.1,0,0,0,0,0.0,0.0,0.0,0.0,8.31,1.51,9.82,25.91,21,9,42,61,112,6.06,Foot injury - Unknown return date,103,33,122,84,37,22,60,39,,,,,1.0,,0.45,0.0,0.08,0.53,1.4,1.14,22,13,580,254,123,51,160,48,1.14,0.54
Rúben Rúben,Man City,DEF,5.5,113,0,4.3,1.6,2,0,2139,12,22,0,0,0,0,3,0,4,560.8,152.2,96.0,81.0,0.0,0,0.0,20.5,0,0,0,0,0.0,0.0,0.0,0.0,0.57,0.65,1.22,26.07,24,13,154,74,167,7.03,,89,38,205,53,237,73,172,60,,,,,,,0.02,0.0,0.03,0.05,1.1,0.93,121,11,380,162,38,14,153,62,1.01,0.5
Adam Wharton,Crystal Palace,MID,5.5,112,0,3.3,0.6,1,6,2552,8,43,0,0,0,0,4,1,8,494.4,720.0,180.0,139.6,0.0,0,0.0,20.4,0,0,0,0,0.0,0.0,0.0,0.0,1.52,7.47,8.98,39.08,29,70,70,163,303,10.69,,115,39,21,20,174,93,61,40,1.0,,,,,,0.05,0.0,0.26,0.31,1.38,1.52,192,118,451,169,132,54,237,78,1.02,0.28
Benjamin Šeško,Man Utd,FWD,7.0,111,0,3.7,1.6,11,2,1630,2,30,0,0,0,0,2,0,19,483.8,156.1,803.0,143.4,0.0,0,0.0,15.9,0,0,0,0,0.0,0.0,0.0,0.0,9.21,0.28,9.48,27.05,17,5,20,39,64,3.53,Shin injury - 75% chance of playing,118,11,199,21,16,9,56,12,,,,,,,0.51,0.0,0.02,0.53,1.49,1.66,30,10,570,62,84,8,148,22,0.94,0.11
Diogo Dalot,Man Utd,DEF,5.0,111,0,3.3,3.0,1,6,2609,7,40,0,0,0,0,5,0,9,535.8,458.5,202.0,119.6,0.0,0,0.0,22.2,0,0,0,0,0.0,0.0,0.0,0.0,1.93,2.57,4.5,36.57,29,53,127,135,180,6.21,,102,45,57,10,153,38,90,24,,,,,,,0.07,0.0,0.09,0.16,1.26,1.38,270,46,247,129,128,50,104,41,1.0,0.24
Trai Hume,Sunderland,DEF,4.5,110,0,2.9,6.0,2,1,3032,9,42,1,0,0,0,9,0,6,547.8,421.3,248.0,120.9,0.0,0,0.0,24.4,0,0,0,0,0.0,0.0,0.0,0.0,2.27,2.05,4.32,47.27,34,68,135,102,203,6.03,,94,43,68,15,116,20,88,23,3.0,,,,,,0.07,0.0,0.06,0.13,1.4,1.25,472,128,150,100,183,76,64,25,1.01,0.27
Moisés Caicedo,Chelsea,MID,5.5,110,0,3.3,3.9,3,1,2796,6,47,0,0,0,0,11,1,10,562.4,403.1,128.0,109.2,0.0,0,0.0,20.0,0,0,0,0,0.0,0.0,0.0,0.0,1.45,2.38,3.83,42.54,32,87,102,177,366,11.78,,88,28,75,57,208,115,107,62,,,,,,,0.05,0.0,0.08,0.13,1.37,1.51,189,116,448,167,131,53,84,29,1.03,0.19
James Hill,Bournemouth,DEF,5.5,110,0,3.8,1.0,0,3,2102,8,24,2,0,0,0,5,0,4,579.4,161.7,119.0,86.3,0.0,0,0.0,20.0,0,0,0,0,0.0,0.0,0.0,0.0,0.89,1.16,2.04,33.42,22,39,221,74,260,11.13,,83,35,189,48,218,63,157,53,,,,,,,0.04,0.0,0.05,0.09,1.43,1.03,174,24,433,175,73,28,189,68,0.94,0.34
Joe Rodon,Leeds,DEF,4.5,109,0,3.1,2.6,2,0,2952,6,53,0,0,0,0,3,0,5,707.2,137.3,242.0,109.1,0.0,0,0.0,24.2,0,0,0,0,0.0,0.0,0.0,0.0,1.4,0.56,1.96,48.54,33,37,237,85,274,8.35,,45,18,210,56,122,22,108,30,,,,,,,0.04,0.0,0.02,0.06,1.48,1.62,429,98,107,70,155,62,113,47,1.01,0.18
Riccardo Calafiori,Arsenal,DEF,5.5,109,0,4.2,27.2,1,2,1697,13,8,0,0,0,0,5,0,6,283.0,182.3,313.0,77.9,0.0,0,0.0,19.8,0,0,0,0,0.0,0.0,0.0,0.0,3.36,0.76,4.12,9.72,22,32,70,74,102,5.41,,211,80,182,46,93,12,178,62,,,,,,,0.18,0.0,0.04,0.22,0.52,0.42,178,25,437,176,41,16,9,2,1.17,0.69
Noah Okafor,Leeds,MID,6.0,109,0,3.9,0.6,8,3,1553,6,26,0,0,0,0,3,0,11,438.8,275.0,435.0,115.0,0.0,0,0.0,18.2,0,0,0,0,0.0,0.0,0.0,0.0,5.25,1.32,6.57,24.54,19,23,29,61,113,6.55,,135,48,131,89,52,31,96,55,,,,,,,0.3,0.0,0.08,0.38,1.42,1.51,79,51,506,201,67,30,243,80,1.1,0.35
Senne Lammens,Man Utd,GKP,5.0,109,0,3.4,18.4,0,0,2880,8,39,0,0,0,79,0,0,11,635.6,0.0,2.0,63.7,0.0,0,0.0,21.8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.25,32,1,26,224,0,0.0,,66,15,527,64,355,2,213,15,,,,,,,0.0,2.47,0.0,0.0,1.23,1.22,314,17,291,59,113,15,20,5,1.0,0.25
Pascal Struijk,Brighton,DEF,5.0,108,0,3.2,0.3,0,1,2935,7,48,0,0,0,0,5,0,4,697.4,161.5,272.0,113.1,0.0,0,0.0,21.6,0,0,0,0,0.0,0.0,0.0,0.0,3.06,0.76,3.82,42.92,33,39,258,117,297,9.11,Knock - 75% chance of playing,47,19,190,49,109,19,101,27,,,,,,,0.09,0.0,0.02,0.11,1.32,1.47,278,50,255,133,146,58,309,115,1.01,0.21
Alexis Mac Allister,Liverpool,MID,5.5,108,0,2.9,1.8,2,5,2654,7,41,0,0,0,0,7,0,9,475.4,562.2,365.0,139.9,0.0,0,0.0,19.6,0,0,0,0,0.0,0.0,0.0,0.0,3.89,1.69,5.58,36.97,31,53,64,112,229,7.77,,123,44,40,37,73,44,59,38,,,,,5.0,,0.13,0.0,0.06,0.19,1.25,1.39,149,93,408,144,184,69,139,42,1.05,0.24
Nick Woltemade,Newcastle,FWD,6.0,108,0,3.3,1.7,8,4,1896,8,29,1,0,0,0,0,0,12,447.2,314.4,425.0,117.5,0.0,0,0.0,18.0,0,0,0,0,0.0,0.0,0.0,0.0,6.59,1.53,8.12,25.67,24,24,28,53,105,4.98,,130,12,116,7,56,21,93,15,,,,,1.0,,0.31,0.0,0.07,0.38,1.22,1.38,92,23,519,54,135,12,145,21,1.14,0.38
Harvey Barnes,Newcastle,MID,6.0,106,0,2.9,1.2,7,1,1951,5,31,0,0,0,0,1,0,9,404.0,387.5,682.0,147.0,0.0,0,0.0,17.7,0,0,0,0,0.0,0.0,0.0,0.0,6.84,2.72,9.56,30.3,19,13,20,67,100,4.61,,151,58,84,62,24,11,53,33,,,,,,,0.32,0.0,0.13,0.45,1.4,1.43,67,45,494,195,185,70,181,61,0.88,0.23
Matz Sels,Nott'm Forest,GKP,5.0,105,0,3.4,1.6,0,0,2667,7,39,0,1,0,95,2,0,3,730.0,10.0,0.0,74.0,0.0,0,0.0,21.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,45.12,30,1,26,197,0,0.0,,39,11,342,11,488,51,186,11,,,,,,,0.0,3.21,0.0,0.0,1.52,1.32,227,5,204,47,110,13,155,23,1.01,0.24
Yehor Yarmoliuk,Brentford,MID,5.0,104,0,2.8,1.4,1,3,2652,8,42,0,0,0,0,7,0,1,445.0,273.0,117.0,83.4,0.0,0,0.0,20.8,0,0,0,0,0.0,0.0,0.0,0.0,1.22,1.39,2.61,40.31,30,69,83,186,338,11.47,,132,47,132,90,219,119,166,81,,,,,,,0.04,0.0,0.05,0.09,1.37,1.43,347,202,324,89,196,73,165,52,1.02,0.27
Norberto Bercique Beto,Everton,FWD,5.5,104,0,2.8,2.9,9,1,1551,5,19,0,0,0,0,3,0,15,445.8,159.8,655.0,124.5,0.0,0,0.0,18.9,0,0,0,0,0.0,0.0,0.0,0.0,8.9,0.23,9.13,24.16,17,14,49,26,89,5.16,,131,13,194,19,26,14,81,14,,,,,4.0,,0.52,0.0,0.01,0.53,1.4,1.1,188,42,447,38,198,19,105,13,0.99,0.29
John McGinn,Aston Villa,MID,5.5,103,0,3.4,3.2,5,4,2136,8,28,0,0,0,0,5,0,6,459.8,605.3,309.0,137.3,0.0,0,0.0,18.7,0,0,0,0,0.0,0.0,0.0,0.0,3.0,4.11,7.11,33.08,28,29,32,89,150,6.32,,127,46,33,32,96,61,68,43,2.0,,,,,,0.13,0.0,0.17,0.3,1.39,1.18,117,76,376,127,114,44,93,32,1.18,0.34
Alex Iwobi,Fulham,MID,5.5,103,0,3.6,1.0,4,3,2420,5,40,0,0,0,0,3,0,13,511.2,739.4,343.0,159.4,0.0,0,0.0,18.7,0,0,0,0,0.0,0.0,0.0,0.0,1.91,4.7,6.61,35.7,29,27,35,126,188,6.99,,111,37,20,19,79,48,45,30,1.0,,1.0,,3.0,,0.07,0.0,0.17,0.24,1.33,1.49,118,77,377,128,93,39,193,65,1.08,0.19
Calvin Bassey,Fulham,DEF,4.5,103,0,3.4,0.7,1,1,2532,7,40,0,0,0,0,5,0,9,574.0,152.2,115.0,84.5,0.0,0,0.0,22.9,0,0,0,0,0.0,0.0,0.0,0.0,1.71,0.35,2.05,38.01,28,62,143,119,205,7.29,,86,37,204,52,222,65,162,56,,,,,,,0.06,0.0,0.01,0.07,1.35,1.42,443,110,121,82,108,45,231,87,1.0,0.25
